reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
11,Tributary to Skeena River,198217_us,00000KISP,0,11,5.8,6.1,7.2,5.2,5.5,,,5.959999999999999,metre tape,3.4,4.6,2.7,3.6,2.6,,,3.38,metre tape,0.47,0.4,0.5,0.3,,,,0.4175,metre stick,0.35,,,,0.35,metre stick,3.5,2,2,,0.025,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,41-70%,few,evenly distributed,none,undercut,fines,,mixed forest,mature forest,sloping,gravels,,shrubs,shrub,gravels,cobbles,,,riffle-pool,irregular meanders,Decoupled,occasionally confined,beaver dam,1,40,ground estimate,9,582691,6130574,GPS General,"High value habitat. Abundant gravels suitable for CO, ST, and RB spawning. Local knowledge of historic CO spawning in system. Multiple large beaver dams in site. Stream flows adjacent to community of Glen Vowell and supplies community drinking water. Upstream end of site was upstream of beaver dam complex on southern tributary. 10:10"
12,Tributary to Skeena River,198217_us2,00000KISP,0,12,2.1,1.4,1.3,,,,,1.6,metre tape,1.8,1.2,1.1,,,,,1.3666666666666665,metre tape,,,,,,,,,,0.3,,,,0.3,metre stick,10,10,,,0.1,clinometer,moderate,,9,recording meter,114,recording meter,7.599999999999999,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,dominant,none,sub-dominant,none,21-40%,none,evenly distributed,none,undercut,fines,,coniferous forest,mature forest,sloping,gravels,,coniferous forest,mature forest,gravels,cobbles,,,,sinuous,Partially Coupled,frequently confined,,,,,,,,,"Medium value habitat. This is upstream tributary to main stream that enters beaver dam complex. Steeper, smaller stream with extensive areas of gravel suitable for resident and anadronous salmonids. Multiple small steps from large and small woody debris at 20-40cm high. Healthy old growth riparian forest. 11:51"
13,Tributary to Skeena River,198217_us3,00000KISP,0,13,5.8,3.6,5.5,4.5,5.1,4.7,6.1,5.042857142857144,metre tape,2.1,2.8,4.3,3.1,3.3,3.6,4.2,3.3428571428571425,metre tape,0.4,0.3,0.4,0.3,0.3,,,0.34,metre stick,0.6,0.7,,,0.6499999999999999,metre stick,6,4.5,3.5,,0.04666666666666666,clinometer,moderate,,9,recording meter,114,recording meter,7.599999999999999,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,,mixed forest,mature forest,sloping,gravels,,mixed forest,mature forest,gravels,cobbles,,,,irregular meanders,Decoupled,frequently confined,LWD Jam,0.5,6,metre stick,9,590211,6122882,GPS General,"High value habitat. This is major contributing tributary to downstream flow. Abundant gravels suitable for spawning, sporadic pools suitable for juvenile CO/ST overwintering. Mature old growth mixed riparian providing stable channel and large woody debris. Wildlife trails throughout forest. 12:30"
14,Tributary to Kitwanga River,198236_us,00000KISP,0,14,2.8,2.4,3.5,3.1,,,,2.95,metre tape,3.2,2.4,2.3,2.6,,,,2.625,metre tape,0.2,0.4,0.6,0.3,0.4,,,0.38000000000000006,metre stick,0.2,0.3,0.3,,0.26666666666666666,metre stick,6,5,6,6,0.0575,clinometer,,,8,recording meter,149,recording meter,8.3,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,,few,evenly distributed,,undercut,fines,,coniferous forest,mature forest,sloping,fines,,coniferous forest,young forest,gravels,cobbles,,,,sinuous,Coupled,confined,,,,,,,,,"SFC sample site. High value habitat, abundant gravels suitable for resident and anadronous spawning. Debris in downstream section potentially an access issue. Frequent pools due to LWD in canyon that was not logged. 14:48"
15,Tea Creek,198220_ds,00000KISP,0,15,4.8,5.9,5.6,5.1,5.8,,,5.44,metre tape,2.5,3.6,3.1,3.9,3.1,,,3.24,metre tape,0.3,0.3,0.4,,,,,0.33333333333333326,metre stick,0.5,0.5,,,0.5,metre stick,2,3,4,,0.03,clinometer,moderate,,11.6,recording meter,291,recording meter,8.4,pH meter (general),clear,moderate,sub-dominant,trace,dominant,sub-dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,,sloping,cobbles,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,gravels,cobbles,,14,,sinuous,Partially Coupled,frequently confined,,,,,,,,,"High value habitat. Boulder cover throughout, gravels throughout. Few pools. Known ST stream with local landowner reporting spawning in tributaries of highway. 17:48"
16,Sandstone Creek,8530_ds_ef1,00000ZYMO,0,16,3.6,3.1,3.7,2.9,4,,,3.46,metre tape,2,2.8,2.2,2.5,2.5,,,2.4,metre tape,,,,,,,,,,,,,,,,3,,,,0.03,clinometer,,,6.5,recording meter,90,recording meter,7.4,pH meter (general),clear,moderate,trace,sub-dominant,dominant,sub-dominant,sub-dominant,trace,none,1-20%,few,evenly distributed,none,sloping,boulders,,coniferous forest,mature forest,undercut,boulders,,coniferous forest,mature forest,boulders,boulders,,,,,,,,,,,,,,,Glide habitat with some steep sections and boulder cover. One small patch of gravel. 12:06:20
17,Sandstone Creek,8530_ds,00000ZYMO,0,17,5.5,6,2.2,3.4,3.5,3.5,,4.016666666666667,metre tape,3,5.75,2,2.7,3.2,2.4,,3.1749999999999994,metre tape,0.33,0.45,0.4,0.35,0.55,0.4,0.3,0.39714285714285713,metre stick,0.2,0.6,0.55,0.6,0.4875,metre stick,2.5,3,4,1.5,0.0275,clinometer,moderate,,6.5,recording meter,90,recording meter,7.4,pH meter (general),clear,abundant,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,sub-dominant,trace,71-90%,abundant,evenly distributed,mosses,sloping,large rock/bedrock,,mixed forest,mature forest,undercut,cobbles,,mixed forest,mature forest,large rock/bedrock,cobbles,,0.32,,,,,,,,,,,,,"Medium value fish habitat. Water runs cool and clear, with good flow. Riparian is healthy, plenty of shade and cover present. Bed material consists of cobbles and boulders, also there are small pockets of gravel suitable for spawning. Some features may be natural barriers to fish passage, although during high flow there's a good chance strong fish can make it up. Plenty of pools available for fish to inhabit, large woody debris and small woody debris as well as boulders are quite functional and force complexity into the stream. Stream is located mostly in a bed rock canyon, shrubs hang over the stream, taking up about 2 m on either side of the bank. 11:27:01"
18,Sandstone Creek,8530_us_ef1,00000ZYMO,0,18,5.4,5.3,5.6,5.1,6,,,5.48,metre tape,2.8,2.4,1.8,2.6,2.5,,,2.42,metre tape,,,,,,,,,,,,,,,,2.5,,,,0.025,clinometer,moderate,,6.4,recording meter,90,recording meter,7.4,pH meter (general),clear,moderate,dominant,none,sub-dominant,sub-dominant,trace,sub-dominant,none,1-20%,none,,,sloping,gravels,,coniferous forest,mature forest,undercut,fines,,coniferous forest,mature forest,cobbles,gravels,,,,,,,,,,,,,,,"One rainbow captured along with numerous cutthroat. Low-gradient shallow glide with some riffle. Small woody debris, boulders and undercut banks throughout most of survey. 11:39:32"
19,Sandstone Creek,8530_us_ef3,00000ZYMO,0,19,3.8,3.5,3.7,3.4,4.3,,,3.74,metre tape,3,3,3.2,2.9,2.1,,,2.84,metre tape,,,,,,,,,,,,,,,,1.5,,,,0.015,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,none,none,trace,dominant,sub-dominant,none,21-40%,none,,none,sloping,gravels,,shrubs,shrub,sloping,cobbles,,coniferous forest,mature forest,,,,,,,,,,,,,,,,,Slightly deeper pool glide habitat for approximately 10 m at the bottom then some shallower riffle and glide in the top end. Lots of small woody debris in the deepest areas of the pool where majority of the larger fish were captured. 15:22:36
20,Sandstone Creek,8530_us_ef2,00000ZYMO,0,20,6.6,3.4,2.3,3.3,6.1,5.2,,4.4833333333333325,metre tape,4.2,2.2,1.2,2.1,2.4,2.3,,2.4000000000000004,metre tape,,,,,,,,,,,,,,,,2,,,,0.02,clinometer,,,,recording meter,,recording meter,,pH meter (general),,moderate,dominant,trace,trace,trace,none,sub-dominant,none,1-20%,few,evenly distributed,none,sloping,gravels,,shrubs,shrub,sloping,fines,,coniferous forest,mature forest,cobbles,gravels,,,,,,,,,,,,,,,Mostly riffle habitat with some shallow glide and small woody debris. 14:29:31
21,Tributary to Owen Creek,197379_ds_ef1,00000MORR,0,21,,,,,,,,,metre tape,5,,,,,,,5,metre tape,,,,,,,,,,,,,,,,0,,,,0,,low,,8,recording meter,298,recording meter,7.5,pH meter (general),,abundant,trace,none,sub-dominant,none,dominant,trace,,1-20%,,,,sloping,cobbles,,mixed forest,young forest,sloping,cobbles,,mixed forest,young forest,cobbles,boulders,,,,,,,,,,,,,,,Because the stream was primarily dewatered downstream of the outlet pool this site consisted of the outlet pool only. Only a portion of the fish present in the outlet pool were sampled due to time constraints. 12:48:19
22,Tributary to Owen Creek,197379_us_ef1,00000MORR,0,22,6.8,8.4,10.3,,,,,8.5,metre tape,1.6,2,1.4,,,,,1.6666666666666667,metre tape,,,,,,,,,,,,,,,,0,,,,0,,low,,8,recording meter,298,recording meter,7.5,pH meter (general),,abundant,trace,none,sub-dominant,trace,dominant,trace,none,1-20%,none,,none,sloping,fines,,mixed forest,young forest,undercut,cobbles,,mixed forest,young forest,,,,,,,,,,,,,,,,,"Shallow pools with very large boulder on right bank, flat faced area, isolated pocket because the majority of the channel is dewatered. Two passes of the same site were done but fish were not separated into passes. Some uncertainty about whether fish marked as cutthroat or actually rainbow. There are yellow slashes under the chin but the mouth does not reach past the eye and we haven't seen any larger age class fish with the slash. The big fish all appear to be rainbow, suspect the small ones may also be rainbow. Unless they're hybrids. During the fish processing process it appeared that it is very likely that all of the fish that were classified as cutthroat were actually rainbow. We didn't find any larger fish with red slashes and as the fish got larger it appeared the yellow slight yellow slashes underneath the chins got lighter and lighter. 13:04:29"
23,Sterritt Creek,198225_us,00000KISP,0,23,17.3,13.9,19.3,8.199999999999998,5.2,9.2,,12.183333333333335,metre tape,4.07,4.4,5.78,5.8,4.45,8.3,,5.466666666666666,metre tape,0.25,0.29,0.61,0.43,0.63,,,0.442,metre stick,0.57,0.63,1.06,0.96,0.8049999999999998,metre stick,4.5,5,4,4,0.04375,clinometer,moderate,,8,recording meter,11,recording meter,7.8,pH meter (general),Clear,abundant,sub-dominant,dominant,trace,trace,trace,trace,none,21-40%,abundant,evenly distributed,none,V-shaped,cobbles,,mixed forest,mature forest,V-shaped,cobbles,,mixed forest,mature forest,cobbles,gravels,,,,irregular wandering,Decoupled,occasionally confined,,,,,,,,,"Has potential for fish but gradient is steep. Bank full depth is very high and when stream is high it fans out. The abundance of large woody debris is the main factor in stream direction and development. Some large woody debris jams present that are approximately 1m in height. Other streams near creek have higher water level, may be one stream. 12:50:07"
24,Sterritt Creek,198225_ds,00000KISP,0,24,10.1,10.7,7.599999999999999,5.3,6.7,6.8,5.1,7.47142857142857,metre tape,7.5,8.4,3.8,4.4,4.6,5.6,5,5.614285714285715,metre tape,0.23,0.37,0.5,0.67,0.3,,,0.414,metre stick,0.8,1,0.1,2,0.9750000000000002,metre stick,3.5,6,4,9,0.05625,clinometer,moderate,,8,recording meter,46,recording meter,7.9,pH meter (general),Clear,trace,sub-dominant,dominant,sub-dominant,sub-dominant,trace,trace,none,41-70%,abundant,clumped,none,V-shaped,large rock/bedrock,,coniferous forest,young forest,V-shaped,large rock/bedrock,,coniferous forest,young forest,large rock/bedrock,cobbles,,,,regular meanders,Partially Coupled,entrenched,,,,,,,,,Abundance of large woody debris jams help with pools and water diversion as well as create natural steps. 10:12:00
25,Tributary to Kitwanga River,198236_ds,00000KISP,0,25,2.8,3,3.2,3.6,3.8,6.7,3.2,3.7571428571428567,metre tape,0.89,2,2.2,2.2,2.8,3.25,3.1,2.3485714285714288,,0.18,0.43,0.23,0.27,,,,0.2775,metre stick,0.36,0.34,0.39,0.37,0.365,metre stick,2.5,2,3,2,0.02375,clinometer,moderate,,8,recording meter,149,recording meter,8.3,pH meter (general),Clear,moderate,sub-dominant,trace,trace,trace,trace,dominant,none,21-40%,few,evenly distributed,none,sloping,gravels,,mixed forest,young forest,sloping,gravels,,mixed forest,young forest,cobbles,gravels,,,,irregular wandering,Decoupled,unconfined,,,,,,,,,"Abundant overhanging vegetation and a lot of downed trees, stream mainly consists of gravels and cobbles, infrequent shallow pools. 15:22:44"
30,Tributary to Owen Creek,197379_us,00000MORR,0,30,4.2,7.599999999999999,7.1,9.5,5.4,4.8,,6.433333333333333,metre tape,3.2,3,3.9,2.9,2.9,2.9,,3.1333333333333333,metre tape,1.5,0.45,0.55,0.45,0.55,,,0.7,metre stick,0.3,0.4,0.4,,0.3666666666666667,metre stick,7,5,3,4,0.0475,clinometer,moderate,,12,recording meter,249,,7.9,,,moderate,sub-dominant,sub-dominant,trace,dominant,sub-dominant,sub-dominant,trace,1-20%,few,evenly distributed,,undercut,cobbles,,shrubs,shrub,sloping,gravels,,mixed forest,mature forest,cobbles,gravels,110,16,,irregular wandering,Partially Coupled,frequently confined,falls,8,4,ground estimate,9,641542,6006411,GPS General,"Initially steep below falls, cascading with pools. Bedrock dominated substrate. Further downstream gratient is ~4%. Lots of undercut banks with some pools. Healthy riparian vegetation providing cover. Functional debris habitat. Overall very nice stream, good flows, plentiful habitat. Large woody debris jam was big but had water running under."
31,Tributary to Owen Creek,197379_ds,00000MORR,0,31,3.9,4.8,4.3,,,,,4.333333333333333,metre tape,2.4,1.9,3.4,,,,,2.5666666666666664,metre tape,0.35,0.35,,,,,,0.35,metre stick,0.4,0.5,,,0.45,metre stick,4,3,3,,0.03333333333333333,clinometer,low,,12,recording meter,249,,7.9,,,moderate,sub-dominant,trace,trace,sub-dominant,trace,dominant,trace,41-70%,few,evenly distributed,,undercut,cobbles,,shrubs,shrub,sloping,gravels,,mixed forest,mature forest,cobbles,gravels,,21,,irregular wandering,Decoupled,occasionally confined,,,,,,,,,Stream had signs of high flow based on eroded steep sided banks. However still a nice mix of habitat available including periodic undercut banks and lots of overhanging vegetation. Gradient relatively stable at 4 degrees although there were some woody debris jams which could impede travel on some flows. One fish sighted in outlet pool.
11,Tributary to Skeena River,198217_us,00000KISP,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beaver dam,1,10,ground estimate,9,582911,6130472,GPS General,feature_record_only
11,Tributary to Skeena River,198217_us,00000KISP,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beaver dam,0.7,7,ground estimate,9,582961,6130451,GPS General,feature_record_only
