rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
,2023-09-12,197640,,MW,9,654327.6647379061,6012326.63375472,Tributary to Buck Creek,Buck Flats Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,3,12,No,,No,No,,0.7,0.6,0.9,No,1.5,4.2,3,No,No,Deep Fill,High,,,"Other than some water in outlet pool and one small section downstream, the stream is completely dry. Very wide channel downstream, a little narrower upstream. Two pipes, some debris blocking inlet of one pipe. Crossing was in wrong place on map, it was approximately 60m south of the original assessment. Ministry of Transportation chris_culvert_id: 1756173 and 1756168. 16:26:32",,,,2023-09-12T16:26:32Z,MateoW,197640
,2023-09-27,197949,,MW,9,614404.1111382586,6010346.404285817,Tributary to Tagit Creek,Spur,,MOF 9946,Closed Bottom Structure,Round Culvert,1.2,14,No,,No,No,,1.2,0.5,0.6,No,2,2,2,No,Yes,Deep Fill,High,,,Numerous fish spotted in outlet pool. Low flow but water present upstream and downstream.  11:10:01,,,,2023-09-27T11:10:01Z,MateoW,197949
,2023-09-27,198022,,AI,9,614702.8627595912,6009975.519000476,Tributary to Tagit Creek,9946-27 Rd,,West Fraser Mills Ltd.,Closed Bottom Structure,Round Culvert,1,14.5,No,,No,No,,2,0,0,No,2,2.8,2,Yes,Yes,Deep Fill,Medium,,,"Moderate value habitat. Habitat confirmation conducted on stream, walked from upstream crossing down through wetland type area to culvert. Mostly dewatered besides small section above this crossing and below the upper crossing. Surveyed from upstream to down and ended up on road approximately 40 m to the north. Stream seems to merge with wetland type area just upstream of the road. Fish sampling conducted with dolly varden captured in small (2.5m2) outlet pool. Cutthroat are known to be upstream of crossing.
 12:12:45",,,,2023-09-27T12:12:45Z,newgraph_airvine,198022
,2023-09-21,198215,,MW,9,582170.998399625,6135021.754633744,Dale Creek,Date Creek FSR,,MOTI Local,Closed Bottom Structure,Round Culvert,3.7,32.5,No,,No,No,,4,1,0.7,No,4,4.2,6.5,No,Yes,Deep Fill,High,,,Two big pipes. Small amount of flow through one but moderate flow through other one. Very big outlet drop and deep outlet pool. Crossing is very close to Kispiox River. Ministry of Transportation chris_culvert_id: 1524775 and 1524776. 12:39:29,,,,2023-09-21T12:39:29Z,MateoW,198215
,2023-09-22,198217,,MW,9,582844.9286681812,6130495.18485187,Tributary to Skeena River ,Sik-e-dakh Water Tower Rd,,Sik-E-Dakh,Closed Bottom Structure,Round Culvert,2.5,10,No,,No,No,,1.2,0.9,0.7,No,3,4.5,2,Yes,Yes,Deep Fill,High,,,"Two pipes, significant outlet drop and deep outlet pool. Abundant spawning gravels present upstream of crossing.  15:48:34",,,,2023-09-22T15:48:34Z,MW,198217
,2023-09-21,198225,,MW,9,584880.0154396101,6152487.509921778,Sterritt Creek,Babine Slide FSR ,,NorthPac Forest Licence Inc.,Closed Bottom Structure,Round Culvert,2.4,30,No,,No,No,,3,0.5,2,No,3.5,4.1,4,No,No,Deep Fill,Medium,,,Natural barrier at outlet of culvert. Approx 2m high cascade flowing over bedrock into outlet pool. High velocity in pipe. Wide stream channel with predominantly cobble substrate. 11:04:00,,,,2023-09-21T11:04:00Z,MateoW,198225
,2023-09-12,,14000571,MW,9,631702.6820074401,6017418.0057513295,Tributary to Houston Tommy Creek,Spur,,Canfor R07549,Closed Bottom Structure,Round Culvert,1.6,18,No,,No,No,,8,0.7,0.5,No,4,2.8,3,No,Yes,Deep Fill,High,,,"Very good habitat upstream and downstream. Culvert is a little bent in the middle. Big outlet drop, fish spotted in outlet pool. Moderate flowing stream. 14:35:45",,,,2023-09-12T14:35:45Z,MateoW,14000571
,2023-09-12,,14000575,MW,9,636436.2452068903,6020756.238491624,Tributary to Morice River,Gold Creek FSR,,Canfor R07549,Closed Bottom Structure,Round Culvert,1.2,16,No,,No,No,,1.5,0.2,0.9,No,0,2.2,2.5,No,Yes,Deep Fill,High,,,Culvert very warped on inlet side. Deep outlet pool indicating culvert is undersized. Fry spotted in outlet pool. Wide channel with good flow and habitat value. Cutthroat trout confirmed upstream. 14:12:45,,,,2023-09-12T14:12:45Z,MateoW,14000575
,2023-09-12,,14000638,MW,9,637530.9413890527,6021807.886733476,Tributary to Morice River,Gold Creek FSR,,Canfor R07549,Closed Bottom Structure,Round Culvert,1.2,24,No,,No,No,,4,0,0.4,No,5,1.7,4,No,No,Deep Fill,Medium,,,"Stream is mostly dewatered, not flowing. Some water in pools. Small amount of water in culvert but no flow. Outlet pool present. Habitat looks good at higher flows. 13:11:07",,,,2023-09-12T13:11:07Z,MateoW,14000638
,2023-09-12,,14000855,MW,9,636690.8431935873,6020942.734381991,Tributary to Morice River,Knapper Rd,,Canfor R07549,Closed Bottom Structure,Round Culvert,0.9,18,No,,No,No,,1,0,1.2,No,1,1.9,3,Yes,Yes,Deep Fill,High,,,"Erosion present on road near outlet. Old, rusted culvert. Fry spotted near inlet. Debris jam blocking most of inlet. Good habitat on both sides. Not a very high traffic road. Might need restoration if road erodes further. Culvert is a little undersized. Confirmed fish presence upstream of culvert. 13:44:21",,,,2023-09-12T13:44:21Z,MateoW,14000855
,2023-09-12,,14001106,MW,9,631507.52171443,6018096.417089044,Tributary to Houston Tommy Creek,Holland Rd,,Canfor R07549,Closed Bottom Structure,Round Culvert,1.2,14,No,,No,No,,0.7,0.1,0.7,No,1,1.9,2,No,No,Deep Fill,High,,,"Deep outlet pool, culvert may be undersized. Relatively wide stream with good habitat, dolly varden confirmed downstream in the past.  15:05:09",,,,2023-09-12T15:05:09Z,MateoW,14001106
,2023-09-13,,14000707,AI,9,648055.2863069144,5994864.60384247,Wrinch Creek,Morice-Owen FSR,,YLP Woodlands GP Ltd. ,Closed Bottom Structure,Round Culvert,0.75,26,No,,No,No,,1.5,0.3,0.75,No,2,1.5,2,No,No,Deep Fill,Medium,,,Good flow for area and this time of year. Small channel through wetland type area downstream. Inlet of pipe is damaged with part of the pipe lodged inside. Substrate upstream appears to be composed of fines only.              17:07:05,,,,2023-09-13T17:07:05Z,newgraph_airvine,14000707
,2023-09-13,,14000708,MW,9,647361.7797139401,5997427.30083425,Emil Creek,Morice-Owen FSR,41.1,YLP Woodlands GP Ltd.,Closed Bottom Structure,Round Culvert,1.3,15,Yes,0.1,Yes,No,,1,0,0,No,2,2.5,4,No,No,Deep Fill,High,,,"Stream is dewatered. Wide channel with embedded culvert. Culvert is filled with substrate almost all the way to the top. Looks like high habitat quality when stream is flowing. Culvert is close to road, with a lower fill depth on inlet side. 16:55:20",,,,2023-09-13T16:55:20Z,MateoW,14000708
,2023-09-16,,14000637,AI,9,640014.015273088,6023911.106986658,Tributary to Morice River,Gold Creek FSR,,Canfor R07549,Closed Bottom Structure,Round Culvert,0.9,24,No,,No,No,,5,0.75,0.15,No,2,2,1.5,No,Yes,Deep Fill,Medium,,,Really good flow for the area on this very dry year. Numerous small fish observed upstream of the culvert. Cattle accessing the stream from the road upstream. Large outlet drop.           14:42:55,,,,2023-09-16T14:42:55Z,newgraph_airvine,14000637
,2023-09-16,,14001105,MW,9,631177.9079678319,6018352.38059838,Tributary to Houston Tommy Creek,Holland Rd,,Canfor R07549,Closed Bottom Structure,Round Culvert,1,10,No,,No,No,,0.6,0.2,0,No,1,0.8,2.5,No,No,Deep Fill,Low,,,Dewatered tributary. Very overgrown and small stream channel. Culvert is bent downwards near the middle. 11:48:23,,,,2023-09-16T11:48:23Z,MateoW,14001105
,2023-09-18,,24600461,AI,9,590953.7635014394,6071963.076332843,Tributary to McDonell Lake,Spur,0.75,Unclassified,Other,Ford,5,3,No,,No,No,,,,,No,,,,No,No,,,,,Area of historic sockeye spawning just upstream. Fry observed in stream. Abundant gravel throughout.           16:49:33,,,,2023-09-18T16:49:33Z,newgraph_airvine,24600461
,2023-09-19,,24601268,MW,9,597568.3893406499,6070336.653891635,Tributary to Zymoetz River,Dennis West FSR,,Wetzinkwa Community Forest Corporation,Closed Bottom Structure,Round Culvert,0.6,12,No,,No,No,,0.8,1,0.3,No,6,1.1,8,No,No,Deep Fill,Low,,,"Dewatered stream, small channel and overgrown. Very big outlet drop.  17:02:08",,,,2023-09-19T17:02:08Z,MateoW,24601268
,2023-09-19,,24601275,AI,9,592861.4509980519,6070870.572871064,Tributary to McDonell Lake,Denis West FSR,,BCTS R22433,Open Bottom Structure,Wood Box Culvert,5,20,No,,No,No,,,,,No,,,,No,No,,,,,Wood box culvert with huge timbers.           16:47:42,,,,2023-09-19T16:47:42Z,newgraph_airvine,24601275
,2023-09-19,,24601279,MW,9,590211.2662061886,6069930.625866835,Tributary to McDonell Lake,Dennis West FSR,,BCTS R22433,Closed Bottom Structure,Round Culvert,1.1,10,No,,No,No,,1.2,0,0,No,8,0.8,11,No,No,Deep Fill,Low,,,"Grassy wetland habitat upstream and small channel. Steep system. Stream bed substrate is mostly mud, not ideal fish habitat.  16:12:26",,,,2023-09-19T16:12:26Z,MateoW,24601279
,2023-09-19,,24601280,AI,9,597637.3767167126,6070210.791066114,Tributary to Zymoetz River,Dennis West FSR,,Wetzinkwa Community Forest Corporation,Closed Bottom Structure,Round Culvert,0.6,18.5,No,,No,No,,1,0.18,0.4,Yes,5,1.8,7,No,Yes,Deep Fill,Medium,,,Nice stream with good flow and abundant gravel. Pipe is very under sized and appears to have been dredged at the upstream end to clear it. Fish observed in outlet pool.            18:36:33,,,,2023-09-19T18:36:33Z,newgraph_airvine,24601280
,2023-09-25,,8300003,MW,9,585139.9670579717,6119114.877677408,Chicago Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,1.6,20,No,,No,No,,4,0.2,0.7,No,4.5,3.9,3,No,No,Deep Fill,High,,,"Small rapids near inlet creating small drop. Appears to be high stream velocity in culvert, installing baffles could be an option. Wide stream with high flow, gravels present upstream. Ministry of Transportation chris_culvert_id: 1522582. 10:42:03",,,,2023-09-25T10:42:03Z,MateoW,8300003
,2023-09-25,,8300013,MW,9,581146.278162125,6115874.402996885,Gershwin Creek,Braucher Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,0.75,8,No,,No,No,,1,0,0,No,2,2.1,3,No,No,Deep Fill,Low,,,"Culvert is barely visible, small part of outlet can be seen but the rest is buried and submerged in water. Inlet not visible. Pipe looks very old and in bad condition. Moderate flow downstream with well defined channel. Upstream, channel is very overgrown and grassy vegetation. Culvert slope estimated. Ministry of Transportation chris_culvert_id: 1525550. 11:47:42",,,,2023-09-25T11:47:42Z,MateoW,8300013
,2023-09-25,,8300091,MW,9,585181.3249660563,6120192.0778484885,Tributary to Skeena River,Aldous St,,MOTI,Closed Bottom Structure,Round Culvert,2,15,No,,No,No,,2.2,0,0,No,1,3.1,1,No,Yes,Deep Fill,Medium,,,"Good flowing stream, fry spotted in culvert and upstream. No outlet drop or pool. Some gravels downstream, only sand/fines upstream of culvert. Flows through residential area. Channel is wider upstream than downstream. Ministry of Transportation chris_culvert_id: 1525089. 09:08:22",,,,2023-09-25T09:08:22Z,MateoW,8300091
,2023-09-25,,8300094,MW,9,578738.1922728069,6113138.534751511,Comeau Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,0.9,32,No,,No,No,,3,0,0,No,2,0.9,3,No,No,Deep Fill,Low,,,"Dewatered stream, very small channel upstream, overgrown and poorly defined. Outlet could not be found. No visible channel downstream. Ministry of Transportation chris_culvert_id: 1522940. 14:08:23",,,,2023-09-25T14:08:23Z,MateoW,8300094
,2023-09-25,,8300157,AI,9,562493.6055393056,6105028.555887963,Shandilla Creek,Highway 16,,MOTI,Closed Bottom Structure,Oval Culvert,4.5,28,No,,No,No,,4,2,0.4,Yes,5.5,5.8,8,No,No,Deep Fill,High,,,Very large stream with massive outlet drop on the pipe. Slight gradient change within the pipe for the last one and a half metres before the outlet as it is a bit steeper. Skeena river is immediately downstream of the outlet.  Pink salmon spawning location noted upstream of the site.                   Ministry of Transportation chris_hwy_structure_road_id: 4100. 15:23:46,,,,2023-09-25T15:23:46Z,newgraph_airvine,8300157
,2023-09-25,,8300756,MW,9,585631.4305126024,6120092.052672838,Tributary to Skeena River,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,1.25,34,No,,No,No,,6,0.05,0.3,No,0.5,2.4,2,No,No,Deep Fill,Medium,,,"Very long culvert. Small road/trail between highway and outlet, culvert runs underneath both. Upstream side is in fenced off agricultural field, could not access. Lots of fines/sands in stream bed. Some gravels and cobbles. Good flow in culvert, does not appear to be a fish passage issue. Ministry of Transportation chris_culvert_id: 1522604. 09:32:36",,,,2023-09-25T09:32:36Z,MateoW,8300756
,2023-09-25,,8300759,MW,9,584964.960265714,6118989.202022667,Tributary to Chicago Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,1.8,22,No,,No,No,,1.6,0,0,No,0.5,2.3,3.5,No,No,Deep Fill,Medium,,,"Relatively wide channel with high flow. Wetland habitat upstream. Beaver grate at inlet, 0.25m wide between vertical metal rods so still passable to all fish. Some stream substrate and cobbles present in culvert. Ministry of Transportation chris_culvert_id: 1522560. 11:13:12",,,,2023-09-25T11:13:12Z,MateoW,8300759
,2023-09-25,,8300872,MW,9,581258.750244081,6115642.112735251,Tributary to Gershwin Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,1.5,20,No,,No,No,,3,0.4,0.9,No,2,4.1,1.5,No,No,Deep Fill,High,,,Fish spotted in outlet pool (approx. 40cm long). Good spawning gravels just downstream of outlet pool. Wide channel. Ministry of Transportation chris_culvert_id: 1522485. 12:19:12,,,,2023-09-25T12:19:12Z,MateoW,8300872
,2023-09-25,,8300970,MW,9,569106.4441298228,6105804.118150496,Andimaul Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,1.5,20,No,,No,No,,1.2,1.6,0.5,No,5,3.9,7,No,No,Deep Fill,High,,,Massive outlet drop. Stream flows over big boulders before dropping down and creating large outlet pool. Some holes in culvert near end of pipe at outlet where water is flowing down through. High stream velocity in pipe. Nice stream with wide channel and high flow. Water line in stream downstream of crossing. Dolly Varden confirmed upstream of crossing. 15:04:28,,,,2023-09-25T15:04:28Z,MateoW,8300970
,2023-09-25,,8302868,AI,9,584387.7597713304,6119506.607428301,Chicago Creek,Railway,,CN Rail ,Closed Bottom Structure,Round Culvert,1.7,75,No,,No,No,,9.9,1.2,1,Yes,2,5,2,No,Yes,Deep Fill,High,,,"High value habitat. Major work has been done on this crossing to backwater the outlet using driven sheet pilings. There is an approximate 1.2 m high drop following 40 m of stream after the outlet where adult coho spawners are staged. Incredible spawning habitat upstream with low gradients and abundant gravels. Structure has the date 1920 stamped on the inlet. Known coho spawning system with long history and the Chicago creek restoration society putting in work for over 20 years. Fill depth estimated at 18 m, but changed to 9.9 to fulfill provincial sumbission requirements.           11:06:50",,,,2023-09-25T11:06:50Z,newgraph_airvine,8302868
,2023-09-25,,8302869,AI,9,580437.9459294393,6115772.85371678,Gershwin Creek,Railway,,CN Rail,Closed Bottom Structure,Concrete Box,1.5,99,No,,No,No,,9.9,0.4,0.35,No,7,4.5,10,No,Yes,Deep Fill,High,,,"Very high value habitat upstream with pockets of gravel throughout. Adult cutthroat or rainbow observed just downstream of Highway 16. Crossing upstream of here. Structure is dated 1923. Water flows within the box. Culvert at the time of the survey was approximately two to 5 cm deep. Skeena fisheries commission site with recommendation for installation of baffles. Fill depth estimated at 30 m and culvert length at 120 m, but changed to 9.9 and 99, respectively, in order to fulfill provincial sumbission requirements.               13:35:25",,,,2023-09-25T13:35:25Z,newgraph_airvine,8302869
,2023-09-25,,8800020,AI,9,543158.571601187,6096228.122620289,Tributary to Skeena River,Cedarvale Rd,,MOTI,Closed Bottom Structure,Round Culvert,1.5,22,No,,No,No,,4,0,0,No,1,1,2,No,No,Deep Fill,Low,,,Dry at the time of survey. Well defined channel. Connects to a side channel of the Skeena River.          Ministry of Transportation chris_culvert_id: 1528713. 16:13:26,,,,2023-09-25T16:13:26Z,newgraph_airvine,8800020
,2023-09-25,,8800072,MW,9,546999.8466477385,6100103.707981796,Tributary to Skeena River ,Highway 16,,MOTI,Closed Bottom Structure,Oval Culvert,4.8,22,No,,No,No,,0.2,0.8,0.8,No,3,6.4,6.5,No,Yes,Bedrock,Medium,,,"Big outlet drop and relatively deep pool. Big, wide culvert, some stream substrate in pipe but only on one side. Wide channel, high flow and steep system. Very low fill depth. Small fry seen in pipe. Ministry of Transportation chris_hwy_structure_road_id: 4099. 16:04:40",,,,2023-09-25T16:04:40Z,MateoW,8800072
,2023-09-26,,8800026,AI,9,538519.6121501668,6050845.12206668,Singlehurst Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,2,42,No,,No,No,,6,0.4,1.2,No,2.5,5.7,1,No,Yes,Deep Fill,High,,,High value spawning habitat upstream. One redd observed upstream. DFO and MOTI historic back watering and side channel sites. Approximately 30 pink salmon spawners and 10 steelhead spawners immediately downstream of the last wooden structure downstream of the pipe.           Ministry of Transportation chris_hwy_structure_road_id: 192334. 10:06:21,,,,2023-09-26T10:06:21Z,newgraph_airvine,8800026
,2023-09-26,,8800047,MW,9,539072.4055445096,6051828.83846094,Singlehurst Creek,Singlehurst Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,3.1,22,No,,No,No,,1,0.2,0.7,No,3,4.6,2.5,No,No,Deep Fill,High,,,Abundant gravels present upstream. Very wide channel with good flow. Minimal outlet drop but deep pool. Historic steelhead and coho point upstream. 10:10:43,,,,2023-09-26T10:10:43Z,MateoW,8800047
,2023-09-26,,8800056,MW,9,537939.7855108745,6048485.058310391,Noble Five Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,1,24,No,,No,No,,5,1.6,0.5,No,4,2.1,5,No,No,Deep Fill,Medium,,,"High fill depth and massive outlet drop. Pipe is bent sideways in the middle, can barely see the other side from inlet. Moderate flow in stream. Ministry of Transportation chris_culvert_id: 1923309. 09:17:20",,,,2023-09-26T09:17:20Z,MateoW,8800056
,2023-09-26,,8800070,AI,9,536437.3707659568,6046472.962600345,Fall Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,2.5,24,No,,No,No,,1,1.6,1.4,Yes,1.5,5.6,6.5,No,No,Deep Fill,High,,,"Outlet of pipe is almost at high watermark of the Skeena. Suspect that elevation of the pipe may need to consider high water levels for the Skeena. However, normal high water level is not much higher than outlet pool surface level at time of the survey so outlet drop is nearly always elevated. Large stream with good flow. Coho observed upstream in FISS.         Ministry of Transportation chris_culvert_id: 1923295. 09:35:23",,,,2023-09-26T09:35:23Z,newgraph_airvine,8800070
,2023-09-26,,8800076,MW,9,538963.8675813008,6089976.47710216,Flint Creek,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,5,34,No,,No,No,,8,0,0.3,No,6,6.8,5,No,No,Deep Fill,High,,,"Massive pipe, wide stream with high flow. Baffles in pipe reducing stream velocity and allows fish to rest. Rainbow confirmed upstream and downstream. Ministry of Transportation chris_hwy_structure_road_id: 4098. 14:12:09",,,,2023-09-26T14:12:09Z,MateoW,8800076
,2023-09-26,,8800130,MW,9,541520.3597182916,6058092.082864572,Tributary to Skeena River,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,0.9,42,No,,No,No,,8,1,0,Yes,1,1.6,1,No,No,Deep Fill,Low,,,Big outlet drop to Skeena River channel. Could be accessible during high-water in river. Small channel upstream. Stream is flowing. Chinook sampled upstream in the past. Ministry of Transportation chris_culvert_id: 1923241. 11:29:54,,,,2023-09-26T11:29:54Z,MateoW,8800130
,2023-09-26,,8800140,AI,9,545410.0323771783,6075545.966346114,Tributary to Skeena River ,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,1.5,24,No,,No,No,,1.7,0,0,No,0,8,0,Yes,No,Deep Fill,Low,,,"Beaver dam, approximately 1.4 m high located 5 m upstream of the inlet. Beaver influenced wetland upstream however, stream was dry at time of survey downstream of the dam. Skeena River is immediately downstream of the outlet with the high water level, approximately 2 m below pipe outlet. Culvert is in very poor condition with top side of the inlet, bent down and pipe rusted all the way through the bottom for the last 2 m of pipe at outlet. The area upstream of the highway may historically have provided refuge in high flows. However, at time of survey water levels were low with water quite stagnant.           Ministry of Transportation chris_culvert_id: 1923217. 13:00:04",,,,2023-09-26T13:00:04Z,newgraph_airvine,8800140
,2023-09-26,,8800144,MW,9,542400.7419915826,6078903.60980277,Tributary to Skeena River,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,0.6,18,No,,No,No,,1,0,0,No,2,0.6,2,No,No,Deep Fill,Low,,,"Dewatered, no defined stream channel found. Outlet barely visible.  Ministry of Transportation chris_culvert_id: 1526980. 13:29:33",,,,2023-09-26T13:29:33Z,MateoW,8800144
,2023-09-26,,8800149,AI,9,539718.6960416236,6083273.506073911,Tributary to Skeena River,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,3.5,35,No,,No,No,,4,0,1.4,No,14,10,10,No,No,Shallow Fill,Medium,,,"Major debris accumulation downstream of the culvert. Stream is dewatered downstream for at least 60 m. There are numerous buried concrete lock blocks downstream of the outlet, which may have been part of a backwatering system. Trash rack upstream of the crossing has failed, with steel members scattered throughout the stream. There are poured concrete wing walls upstream of the crossing with the right bank being approximately 8 m long and river left bank wall at 30 m long. Bottom half of the culvert is concrete and the top half is corrugated metal. Steeper stream with step pool habitat, and bedrock throughout the channel. Dolly Varden, and cutthroat noted upstream in FISS.              Ministry of Transportation chris_hwy_structure_road_id: 2351. 14:11:58",,,,2023-09-26T14:11:58Z,newgraph_airvine,8800149
,2023-09-26,,8801343,AI,9,547457.7020211625,6066323.318743889,Tributary to Skeena River,Highway 16,,MOTI,Closed Bottom Structure,Round Culvert,0.6,20,Yes,0.2,Yes,Yes,50,1.5,0,0.25,Yes,1,1.7,1,Yes,No,Deep Fill,Low,,,"Small drainage with 1 m high beaverdam, approximately 5 m upstream of the inlet. Fine substrate. Seems unlikely that the stream is fish bearing. Historic FISS stream sample site conducted with channel dry at the time of their assessment. Culvert is in very poor condition, rusting through and bent significantly on the outlet. Pipe slope estimated as deformed pipe and position made measurement with clinometer not possible.           Ministry of Transportation chris_culvert_id: 1923189. 11:38:36",,,,2023-09-26T11:38:36Z,newgraph_airvine,8801343
