area,waterbody,gazetted_name,local_name_1,local_name_2,analysis_yr,species,natural_adult_spawners,natural_jack_spawners,natural_spawners_total,adult_broodstock_removals,jack_broodstock_removals,total_broodstock_removals,other_removals,total_return_to_river,enumeration_methods,adult_presence,jack_presence,start_dtt,end_dtt,natural_adult_females,natural_adult_males,effective_females,weighted_pct_spawn,watershed_cde,waterbody_id,population,run_type,stream_arrival_dt_from,stream_arrival_dt_to,start_spawn_dt_from,start_spawn_dt_to,peak_spawn_dt_from,peak_spawn_dt_to,end_spawn_dt_from,end_spawn_dt_to,accuracy,precision,index_yn,reliability,estimate_stage,estimate_classification,no_inspections_used,estimate_method,created_dtt,updated_dtt,act_id,pop_id,gfe_id
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,1972,Chinook,NA,NA,NA,NA,NA,NA,NA,200,NA,PRESENT,UNKNOWN,07-SEP-72,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Chinook,NA,15-AUG-72,NA,01-SEP-72,NA,15-SEP-72,NA,15-OCT-72,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,795212,47754,520
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1996,Chinook,NA,NA,NA,NA,NA,NA,NA,11849,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,985164,47759,521
4C,KISPIOX RIVER,KISPIOX RIVER,KISPIOX RIVER,NA,1987,Chum,NA,NA,NA,NA,NA,NA,NA,500,Helicopter,PRESENT,UNKNOWN,01-AUG-87,01-OCT-87,NA,NA,NA,NA,470-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,Kispiox River (Hazelton) Chum,NA,01-AUG-87,NA,10-AUG-87,NA,30-AUG-87,NA,01-SEP-87,NA,MED,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,985793,49237,566
4D,BULKLEY RIVER - UPPER,BULKLEY RIVER,BULKLEY RIVER - UPPER,NA,1963,Coho,NA,NA,NA,NA,NA,NA,NA,300,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Upper (Smithers) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,1008283,47856,541
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,1963,Pink,NA,NA,NA,NA,NA,NA,NA,1000,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Pink,NA,NA,NA,15-AUG-63,NA,01-SEP-63,NA,10-SEP-63,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,1010855,49186,556
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1968,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,909794,49345,589
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1983,Chum,NA,NA,NA,NA,NA,NA,NA,25,NA,PRESENT,UNKNOWN,15-JUL-83,15-DEC-83,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Chum,NA,15-AUG-83,NA,01-AUG-83,NA,15-AUG-83,NA,15-SEP-83,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,896906,47758,521
4D,BULKLEY RIVER - UPPER,BULKLEY RIVER,BULKLEY RIVER - UPPER,NA,1967,Chinook,NA,NA,NA,NA,NA,NA,NA,200,NA,PRESENT,UNKNOWN,15-AUG-67,10-NOV-67,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Upper (Smithers) Chinook,NA,15-AUG-67,NA,15-AUG-67,NA,30-AUG-67,NA,10-SEP-67,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,905893,47859,541
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,1953,Chinook,NA,NA,NA,NA,NA,NA,NA,10000,NA,PRESENT,UNKNOWN,10-SEP-53,30-SEP-53,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Chinook,NA,NA,NA,01-SEP-53,NA,15-SEP-53,NA,30-SEP-53,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,911266,49188,556
4B,ZYMOETZ RIVER - LOWER,ZYMOETZ RIVER,ZYMOETZ RIVER - LOWER,COPPER RIVER,1962,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE OBSERVED,UNKNOWN,19-SEP-62,26-NOV-62,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River - Lower (Terrace) Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,799438,47817,533
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1950,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,847652,49344,589
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,1981,Coho,NA,NA,NA,NA,NA,NA,NA,25,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,1019609,47821,534
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1974,Chinook,NA,NA,NA,NA,NA,NA,NA,5000,NA,PRESENT,UNKNOWN,10-SEP-74,24-OCT-74,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Chinook,NA,15-JUL-74,NA,25-AUG-74,NA,15-SEP-74,NA,15-OCT-74,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,992802,47759,521
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1970,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,1007490,49348,589
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,1964,Chinook,NA,NA,NA,NA,NA,NA,NA,5000,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Chinook,NA,NA,NA,01-AUG-64,NA,20-AUG-64,NA,20-SEP-64,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,1015829,49188,556
4B,ZYMOETZ RIVER - LOWER,ZYMOETZ RIVER,ZYMOETZ RIVER - LOWER,COPPER RIVER,1950,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River - Lower (Terrace) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,770024,47819,533
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1957,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,1019068,49348,589
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1955,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,1012665,49347,589
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,1969,Sockeye,NA,NA,NA,NA,NA,NA,NA,972,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,844927,47820,534
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,1960,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,871214,47754,520
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,1963,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,914663,47753,520
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1993,Chinook,NA,NA,NA,NA,NA,NA,NA,15000,"Dead Pitch, Tag Recovery",PRESENT,UNKNOWN,01-AUG-93,01-NOV-93,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Chinook,NA,25-AUG-93,NA,05-SEP-93,NA,15-SEP-93,NA,25-SEP-93,NA,MED,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,924177,47759,521
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1957,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,760157,49347,589
4D,MORICE LAKE,MORICE LAKE,MORICE LAKE,NA,1953,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,01266MORR,Morice Lake (Smithers) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,763853,49189,557
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1991,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,799110,49344,589
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1952,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,920326,49348,589
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1982,Coho,NA,NA,NA,NA,NA,NA,NA,3500,NA,PRESENT,UNKNOWN,15-JUL-82,15-DEC-82,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Coho,NA,15-SEP-82,NA,15-OCT-82,NA,15-NOV-82,NA,15-DEC-82,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,910880,47756,521
4D,BULKLEY RIVER - UPPER,BULKLEY RIVER,BULKLEY RIVER - UPPER,NA,1967,Pink,NA,NA,NA,NA,NA,NA,NA,250,NA,PRESENT,UNKNOWN,15-AUG-67,10-NOV-67,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Upper (Smithers) Pink,NA,25-AUG-67,NA,25-AUG-67,NA,15-SEP-67,NA,30-SEP-67,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,917962,47857,541
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,1983,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NONE OBSERVED,UNKNOWN,14-SEP-83,NA,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,916669,49184,556
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,1966,Sockeye,NA,NA,NA,NA,NA,NA,NA,4000,NA,PRESENT,UNKNOWN,15-AUG-66,30-NOV-66,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Sockeye,NA,NA,NA,15-AUG-66,NA,25-AUG-66,NA,15-SEP-66,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,860677,47820,534
4B,ZYMOETZ RIVER - LOWER,ZYMOETZ RIVER,ZYMOETZ RIVER - LOWER,COPPER RIVER,1966,Sockeye,NA,NA,NA,NA,NA,NA,NA,350,NA,PRESENT,UNKNOWN,04-NOV-66,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River - Lower (Terrace) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,860676,47815,533
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,1968,Chinook,NA,NA,NA,NA,NA,NA,NA,7000,NA,PRESENT,UNKNOWN,15-AUG-68,10-NOV-68,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Chinook,NA,15-AUG-68,NA,15-AUG-68,NA,05-SEP-68,NA,20-SEP-68,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,863945,49188,556
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,1952,Coho,NA,NA,NA,NA,NA,NA,NA,750,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,844477,47821,534
4D,MORICE LAKE,MORICE LAKE,MORICE LAKE,NA,2004,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,17-SEP-04,30-SEP-04,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,01266MORR,Morice Lake (Smithers) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),NA,Expert Opinion,12-AUG-05,NA,79573912,49190,557
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,2004,Sockeye,3166,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,20-AUG-04,25-OCT-04,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Sockeye,NA,01-AUG-04,10-AUG-04,11-AUG-04,20-AUG-04,01-SEP-04,10-SEP-04,11-OCT-04,20-OCT-04,UNK,UNK,NA,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),3,Area Under the Curve,12-AUG-05,NA,69590203,47820,534
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,2004,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,30-NOV-04,30-NOV-04,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),NA,Expert Opinion,12-AUG-05,NA,24583819,47754,520
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,2000,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,NA,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,0,Unknown Estimate Method,03-FEB-06,NA,17019340,47753,520
