reference_number,gazetted_names,local_name,comments
54,Tributary to Coal Creek,8525_us,Site 8525_us. Moderate value habitat. Abundant gravel throughout. Isolated pools are consistent every 30 to 50 m and up to 55 cm in depth. This is a wetland type fern and alder dominated gully with mature spruce riparian.  Dolly Varden captured.      12:49:28
55,Tributary to Coal Creek,8525_us2,Site 8525_us2. Moderate value habitat. Good flow for small system and dry year. Abundant gravels throughout. Undercut banks throughout. Fish known upstream.          15:22:21
56,Tributary to McDonell Lake,8547_ds2,"Site 8547_ds2. Site access at Ford and just below historic sockeye spawning point in FISS. Very nice stream with numerous fry and par observed. Abundant gravel‘s throughout. No noticeably deep pools observed but multiple shallow pools up to 20 or 25 cm present. Good flow for time of year and dry year.
          16:59:44"
57,Tributary to McDonell Lake,8478_ds,Site 8478_ds. Moderate value habitat. Abundant gravels present and channel is stable with LWD and SWD throughout. fish captured. Pools are not deep but majority of fish captured there           10:29:22
58,Tributary to Zymoetz River,198947_us,Site 198947_us. Moderate value habitat. Upon a gravel is present suitable for dolly Varden spawning. Occasional pools to 0.3 and 0.35m deep. Good flow on dry year. Fish observed downstream in outlet pool. No card filled out.17:33:59
59,Tributary to Zymoetz River,198947_ds,"Site 198947_ds. Moderate value habitat. Lol gradients from bottom of site to Zymoetz  river so likelihood  of natural barrier low. Abundant gravels, suitable for resident and anadromous fish.          18:31:39"
60,Tributary to Zymoetz River,8543_us,Site 8543_us. Moderate to low value habitat. Stream is mostly dewatered but with isolated pools to 60 cm deep spaced every 30 to 40 m. Stream is entrenched in the valley with large amounts of mobile angular cobbled  substrate throughout. Fish observed in multiple isolated pools up to 300 m upstream of the crossing. No permanent Natural barriers observed.          10:35:09
61,Gramophone Creek,58067_ds,"Site 58067_ds. High vale habitat. Surveyed from Telkwa Hydro to confluence with Wiggs Creek.  Low water levels in stream with some sections dewatered, particularly in the first 300 m of the survey. Isolated pools scattered approximately 30 to 50 m apart with pools up to 0.6 m deep. Abundant algae in places of slow, moving water. Failing banks encountered throughout survey with Barbwire fence falling into the stream at multiple spots. Occasional pockets of gravel present suitable for resident and anadromous salmonids. Conductivity increased from approximately 140 to 230 over the survey,  indicating there could be inputs related to cattle use in the area. Extensive trampling within the channel was noted at locations throughout the survey.          10:55:05"
62,Gramophone Creek,58067_ds2,"Site 58067_ds2. High value habitat. Site covers from confluence of Wiggs creek to the Bulkley River. Canyon located at proximately 400 m from confluence with the Bulkley. Coho sampled below using dip netting. Canyon is ~ 40m long with two cascade sections 1.5 and 1.7 m high on bedrock, may be barriers to anadromous fish under high and low flow conditions.  Pockets of gravels and some deep pools greater than 1m are present and suitable for overwintering juveniles and resident adults. Stream is dewatered at the confluence with the Bulkley RIver.          12:13:53"
63,Tributary to Tagit Creek,198022_us,"Site 198022_us. Moderate value habitat.  Site surveyed from upper crossing down to lower crossing. Stream is dewatered approximately 75 m downstream of upstream crossing. Approximately 50m upstream of the road is wetland type area, dominated by willow and sedge. Several fish, approximately 70 mm long,  were observed in the outlet pool of the upper crossing. Although primarily dry,  the upper part of the site beyond the wetland area contained abundant gravels.  Residual pools were dry except some shallow ones near the top end of the site when gradients were greater.          10:54:14"
64,Tributary to Tagit Creek,198022_ds_ef1,Site 198022_ds_ef1. Very small site at outlet pool of culvert. One Dolly Varden captured and tagged. Was underneath undercut bank. Conductivity is much higher than stream at culvert located approximately 500 m upstream.          13:42:45
65,Tributary to Tagit Creek,198022_us_ef1,"Site 198022_us_ef1. Fished the outlet pool of PSCIS crossing 197949, which is at the top of this site. 15:35:21"
66,Thompson Creek,123377_ds_ef4,"Site 123377_ds_ef4. ds_ef4 is the same site at ds_ef1. The site was enclosed, sampled, and the fish returned (ds_ef1). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef4). Glide habitat with abundant boulder cover and cobble stream substrate.13:38:14"
67,Thompson Creek,123377_ds_ef5,"Site 123377_ds_ef5. ds_ef5 is the same site at ds_ef2. The site was enclosed, sampled, and the fish returned (ds_ef2). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef5).Small pool at top end of site.14:34:02"
68,Thompson Creek,123377_ds_ef6,"Site 123377_ds_ef6. ds_ef6 is the same site at ds_ef3. The site was enclosed, sampled, and the fish returned (ds_ef3). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef6).Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55"
