reference_number,local_name,method_number,comments_step2
19,8525_us_ef3,1,"Site 8525_us_ef3. Site length is 25m but only 3 small sub sections were electroshocked,  approximately 4m squared.  The remaining site length had too small of a channel and too much woody debris blocking the stream to sample.  Fiss site card had site length = 25m, but given the average wetted channel width of 1.63 m,  an area of 4m squared in impossible. Changed the site length to 2m to attain an area of 4m squared.""16:39:59 "
20,8478_ds_ef1,1,Site 8478_ds_ef1. 2 fish were caught at the bottom end of the site.11:17:08 
20,8478_ds_ef1,1,Site 8478_ds_ef1. 2 fish were caught at the bottom end of the site.11:17:08 
21,8478_ds_ef2,1,Site 8478_ds_ef2. Steep gradient and high flowing stream. Some gravel present suitable for spawning. 13:09:28 
21,8478_ds_ef2,1,Site 8478_ds_ef2. Steep gradient and high flowing stream. Some gravel present suitable for spawning. 13:09:28 
21,8478_ds_ef2,1,Site 8478_ds_ef2. Steep gradient and high flowing stream. Some gravel present suitable for spawning. 13:09:28 
22,8478_ds_ef3,1,"Site 8478_ds_ef3. Steep stream with some smaller cascades with shallow outlet pools. High flow, some patches of gravel present. Abundant overhanging cover.13:26:55 "
22,8478_ds_ef3,1,"Site 8478_ds_ef3. Steep stream with some smaller cascades with shallow outlet pools. High flow, some patches of gravel present. Abundant overhanging cover.13:26:55 "
22,8478_ds_ef3,1,"Site 8478_ds_ef3. Steep stream with some smaller cascades with shallow outlet pools. High flow, some patches of gravel present. Abundant overhanging cover.13:26:55 "
23,8478_us,1,Site 8478_us. Steep system with high flow and periodic cascades (<1m in height). Few deep pools and areas with suitable spawning gravels. Approximately 400m upstream of FSR steam gradients increase to 20% which likely indicates upstream limit of fish distribution.  Dolly varden captured with some fish showing deteriorating purple gill plates and unusual round black spots.  14:25:27 
23,8478_us,1,Site 8478_us. Steep system with high flow and periodic cascades (<1m in height). Few deep pools and areas with suitable spawning gravels. Approximately 400m upstream of FSR steam gradients increase to 20% which likely indicates upstream limit of fish distribution.  Dolly varden captured with some fish showing deteriorating purple gill plates and unusual round black spots.  14:25:27 
25,8547_ds_ef1,1,Site 8547_ds_ef1. 1 pool at top end of site where most fish were caught. Steep valley habitat with small channel14:15:52 
25,8547_ds_ef1,1,Site 8547_ds_ef1. 1 pool at top end of site where most fish were caught. Steep valley habitat with small channel14:15:52 
26,8547_ds_ef2,1,Site 8547_ds_ef2. Good flow with periodic shallow pools.14:26:23 
26,8547_ds_ef2,1,Site 8547_ds_ef2. Good flow with periodic shallow pools.14:26:23 
27,8547_ds_ef3,1,Site 8547_ds_ef3. Fished outlet pool.15:12:35 
27,8547_ds_ef3,1,Site 8547_ds_ef3. Fished outlet pool.15:12:35 
28,8547_us_ef1,1,"Site 8547_us_ef1. Small stream channel, approx 20m upstream of inlet.15:42:11 "
29,8547_us_ef2,1,Site 8547_us_ef2. Small pool at bottom of site with larger fish caught.15:51:17 
29,8547_us_ef2,1,Site 8547_us_ef2. Small pool at bottom of site with larger fish caught.15:51:17 
30,8547_us_ef3,1,Site 8547_us_ef3. One pool at bottom of site with fish caught and one shallow pool at top end of site with fish. Wetted channel is narrower in the middle of site with no fish. 16:35:55 
30,8547_us_ef3,1,Site 8547_us_ef3. One pool at bottom of site with fish caught and one shallow pool at top end of site with fish. Wetted channel is narrower in the middle of site with no fish. 16:35:55 
31,198215_ds_ef1,1,"Site 198215_ds_ef1. Fished outlet pool,  site was approximately 5m squared and 0.7m deep.13:05:22 "
31,198215_ds_ef1,1,"Site 198215_ds_ef1. Fished outlet pool,  site was approximately 5m squared and 0.7m deep.13:05:22 "
31,198215_ds_ef1,1,"Site 198215_ds_ef1. Fished outlet pool,  site was approximately 5m squared and 0.7m deep.13:05:22 "
31,198215_ds_ef1,1,"Site 198215_ds_ef1. Fished outlet pool,  site was approximately 5m squared and 0.7m deep.13:05:22 "
31,198215_ds_ef1,1,"Site 198215_ds_ef1. Fished outlet pool,  site was approximately 5m squared and 0.7m deep.13:05:22 "
31,198215_ds_ef1,1,"Site 198215_ds_ef1. Fished outlet pool,  site was approximately 5m squared and 0.7m deep.13:05:22 "
32,198215_ds_ef2,1,"Site 198215_ds_ef2. Fished pool below 0.7m high block step,  40m downstream of the culvert. 13:37:42 "
32,198215_ds_ef2,1,"Site 198215_ds_ef2. Fished pool below 0.7m high block step,  40m downstream of the culvert. 13:37:42 "
32,198215_ds_ef2,1,"Site 198215_ds_ef2. Fished pool below 0.7m high block step,  40m downstream of the culvert. 13:37:42 "
33,198215_ds_ef3,1,Site 198215_ds_ef3. Fished a shallow riffle pool habitat just upstream of confluence with Kispiox River. 13:54:30 
33,198215_ds_ef3,1,Site 198215_ds_ef3. Fished a shallow riffle pool habitat just upstream of confluence with Kispiox River. 13:54:30 
33,198215_ds_ef3,1,Site 198215_ds_ef3. Fished a shallow riffle pool habitat just upstream of confluence with Kispiox River. 13:54:30 
34,198215_us_ef1,1,"Site 198215_us_ef1. Fished a shallow riffle pool habitat,  approx 10m upstream of culvert inlet.Wide channel with moderate flow. 14:54:07 "
34,198215_us_ef1,1,"Site 198215_us_ef1. Fished a shallow riffle pool habitat,  approx 10m upstream of culvert inlet.Wide channel with moderate flow. 14:54:07 "
34,198215_us_ef1,1,"Site 198215_us_ef1. Fished a shallow riffle pool habitat,  approx 10m upstream of culvert inlet.Wide channel with moderate flow. 14:54:07 "
34,198215_us_ef1,1,"Site 198215_us_ef1. Fished a shallow riffle pool habitat,  approx 10m upstream of culvert inlet.Wide channel with moderate flow. 14:54:07 "
35,198215_us_ef2,1,Site 198215_us_ef2. Wide channel with riffle pool habitat. Two shallow pools present and fish were caught. 15:24:17 
35,198215_us_ef2,1,Site 198215_us_ef2. Wide channel with riffle pool habitat. Two shallow pools present and fish were caught. 15:24:17 
36,198215_us_ef3,1,"Site 198215_us_ef3. Shallow riffle pool, stream gets steeper at top end of site.15:31:44 "
36,198215_us_ef3,1,"Site 198215_us_ef3. Shallow riffle pool, stream gets steeper at top end of site.15:31:44 "
36,198215_us_ef3,1,"Site 198215_us_ef3. Shallow riffle pool, stream gets steeper at top end of site.15:31:44 "
37,198217_us_ef1,1,Site 198217_us_ef1. Wide channel with moderate flow. Approx 30m downstream of weir.11:29:05 
37,198217_us_ef1,1,Site 198217_us_ef1. Wide channel with moderate flow. Approx 30m downstream of weir.11:29:05 
38,198217_us_ef2,1,Site 198217_us_ef2. Approximately 30m downstream of weir. Pool at top end of site.11:35:16 
38,198217_us_ef2,1,Site 198217_us_ef2. Approximately 30m downstream of weir. Pool at top end of site.11:35:16 
38,198217_us_ef2,1,Site 198217_us_ef2. Approximately 30m downstream of weir. Pool at top end of site.11:35:16 
39,198217_us_ef3,1,Site 198217_us_ef3. Directly downstream of weir. Big deep outlet pool at foot of weir.11:46:12 
39,198217_us_ef3,1,Site 198217_us_ef3. Directly downstream of weir. Big deep outlet pool at foot of weir.11:46:12 
39,198217_us_ef3,1,Site 198217_us_ef3. Directly downstream of weir. Big deep outlet pool at foot of weir.11:46:12 
39,198217_us_ef3,1,Site 198217_us_ef3. Directly downstream of weir. Big deep outlet pool at foot of weir.11:46:12 
40,198217_ds_ef1,1,"Site 198217_ds_ef1. Fished pool near outlet of pipe.  Pool had muddy,  fine substrate and was lightly turbid.14:07:03 "
41,198217_ds_ef2,1,Site 198217_ds_ef2. Shallow riffle habitat near outlet pool.14:23:29 
41,198217_ds_ef2,1,Site 198217_ds_ef2. Shallow riffle habitat near outlet pool.14:23:29 
41,198217_ds_ef2,1,Site 198217_ds_ef2. Shallow riffle habitat near outlet pool.14:23:29 
41,198217_ds_ef2,1,Site 198217_ds_ef2. Shallow riffle habitat near outlet pool.14:23:29 
42,198217_ds_ef3,1,"Site 198217_ds_ef3. Fished culvert outlet pool. Approx 0.8m deep and 6m squared. Fiss site card had site length = 6m,  but given the wetted channel width of 5.3m,  an area of 6m squared in impossible.  Changed the site length to 1.2m to attain an area of 6m squared.  14:24:18 "
42,198217_ds_ef3,1,"Site 198217_ds_ef3. Fished culvert outlet pool. Approx 0.8m deep and 6m squared. Fiss site card had site length = 6m,  but given the wetted channel width of 5.3m,  an area of 6m squared in impossible.  Changed the site length to 1.2m to attain an area of 6m squared.  14:24:18 "
42,198217_ds_ef3,1,"Site 198217_ds_ef3. Fished culvert outlet pool. Approx 0.8m deep and 6m squared. Fiss site card had site length = 6m,  but given the wetted channel width of 5.3m,  an area of 6m squared in impossible.  Changed the site length to 1.2m to attain an area of 6m squared.  14:24:18 "
42,198217_ds_ef3,1,"Site 198217_ds_ef3. Fished culvert outlet pool. Approx 0.8m deep and 6m squared. Fiss site card had site length = 6m,  but given the wetted channel width of 5.3m,  an area of 6m squared in impossible.  Changed the site length to 1.2m to attain an area of 6m squared.  14:24:18 "
42,198217_ds_ef3,1,"Site 198217_ds_ef3. Fished culvert outlet pool. Approx 0.8m deep and 6m squared. Fiss site card had site length = 6m,  but given the wetted channel width of 5.3m,  an area of 6m squared in impossible.  Changed the site length to 1.2m to attain an area of 6m squared.  14:24:18 "
42,198217_ds_ef3,1,"Site 198217_ds_ef3. Fished culvert outlet pool. Approx 0.8m deep and 6m squared. Fiss site card had site length = 6m,  but given the wetted channel width of 5.3m,  an area of 6m squared in impossible.  Changed the site length to 1.2m to attain an area of 6m squared.  14:24:18 "
42,198217_ds_ef3,1,"Site 198217_ds_ef3. Fished culvert outlet pool. Approx 0.8m deep and 6m squared. Fiss site card had site length = 6m,  but given the wetted channel width of 5.3m,  an area of 6m squared in impossible.  Changed the site length to 1.2m to attain an area of 6m squared.  14:24:18 "
45,123377_ds_ef3,1,Site 123377_ds_ef3. Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 
45,123377_ds_ef3,1,Site 123377_ds_ef3. Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 
45,123377_ds_ef3,1,Site 123377_ds_ef3. Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 
45,123377_ds_ef3,1,Site 123377_ds_ef3. Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 
45,123377_ds_ef3,1,Site 123377_ds_ef3. Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 
46,124500_ds_ef1,1,"Site 124500_ds_ef1. Slow, stagnant like wetland habitat with steps up to 0.5 m. Abundant algae covering substrate throughout.          13:52:50 "
46,124500_ds_ef1,1,"Site 124500_ds_ef1. Slow, stagnant like wetland habitat with steps up to 0.5 m. Abundant algae covering substrate throughout.          13:52:50 "
46,124500_ds_ef1,1,"Site 124500_ds_ef1. Slow, stagnant like wetland habitat with steps up to 0.5 m. Abundant algae covering substrate throughout.          13:52:50 Not salmonids so no life stage specified."
46,124500_ds_ef1,1,"Site 124500_ds_ef1. Slow, stagnant like wetland habitat with steps up to 0.5 m. Abundant algae covering substrate throughout.          13:52:50 "
46,124500_ds_ef1,1,"Site 124500_ds_ef1. Slow, stagnant like wetland habitat with steps up to 0.5 m. Abundant algae covering substrate throughout.          13:52:50 Not salmonids so no life stage specified."
47,124500_ds_ef2,1,Site 124500_ds_ef2. Land type habitat with abundant algae throughout. A couple patches of gravel where gradient increases. Not as deep as the first site.          14:20:10 
48,124500_ds_ef3,1,Site 124500_ds_ef3. Shallow stream with small gradient breaks of gravel. Predominant substrate is fines in wetland type area with collapsing banks.          14:38:50 
48,124500_ds_ef3,1,Site 124500_ds_ef3. Shallow stream with small gradient breaks of gravel. Predominant substrate is fines in wetland type area with collapsing banks.          14:38:50 Not salmonids so no life stage specified.
48,124500_ds_ef3,1,Site 124500_ds_ef3. Shallow stream with small gradient breaks of gravel. Predominant substrate is fines in wetland type area with collapsing banks.          14:38:50 Not salmonids so no life stage specified.
48,124500_ds_ef3,1,Site 124500_ds_ef3. Shallow stream with small gradient breaks of gravel. Predominant substrate is fines in wetland type area with collapsing banks.          14:38:50 Not salmonids so no life stage specified.
49,124500_us_ef3,1,Site 124500_us_ef3. Poor value habitat. Shallow riffle habitat with fine substrate. No deep pools or undercut banks. No fish captured.          16:15:4S 
50,124500_us_ef1,1,Site 124500_us_ef1. One long pool with steps fairly consistent at 0.3 m. Very turbid water and large amounts of leaves provided cover on the surface. Many fish captured.          16:32:07 
50,124500_us_ef1,1,Site 124500_us_ef1. One long pool with steps fairly consistent at 0.3 m. Very turbid water and large amounts of leaves provided cover on the surface. Many fish captured.          16:32:07 Not salmonids so no life stage specified.
50,124500_us_ef1,1,Site 124500_us_ef1. One long pool with steps fairly consistent at 0.3 m. Very turbid water and large amounts of leaves provided cover on the surface. Many fish captured.          16:32:07 Not salmonids so no life stage specified.
51,124500_us_ef2,1,Site 124500_us_ef2. Site is pool were fine substrate and abundant the flitter providing cover. Depths of up to 35 cm throughout. Many fish captured.  No card filled out. Waypoint 293        16:46:58 
51,124500_us_ef2,1,Site 124500_us_ef2. Site is pool were fine substrate and abundant the flitter providing cover. Depths of up to 35 cm throughout. Many fish captured.  No card filled out. Waypoint 293        16:46:58 Not salmonids so no life stage specified.
62,58067_ds2,1,"Site 58067_ds2. High value habitat. Site covers from confluence of Wiggs creek to the Bulkley River. Canyon located at proximately 400 m from confluence with the Bulkley. Coho sampled below using dip netting. Canyon is ~ 40m long with two cascade sections 1.5 and 1.7 m high on bedrock, may be barriers to anadromous fish under high and low flow conditions.  Pockets of gravels and some deep pools greater than 1m are present and suitable for overwintering juveniles and resident adults. Stream is dewatered at the confluence with the Bulkley RIver.          12:13:53 "
62,58067_ds2,1,"Site 58067_ds2. High value habitat. Site covers from confluence of Wiggs creek to the Bulkley River. Canyon located at proximately 400 m from confluence with the Bulkley. Coho sampled below using dip netting. Canyon is ~ 40m long with two cascade sections 1.5 and 1.7 m high on bedrock, may be barriers to anadromous fish under high and low flow conditions.  Pockets of gravels and some deep pools greater than 1m are present and suitable for overwintering juveniles and resident adults. Stream is dewatered at the confluence with the Bulkley RIver.          12:13:53 "
64,198022_ds_ef1,1,Site 198022_ds_ef1. Very small site at outlet pool of culvert. One Dolly Varden captured and tagged. Was underneath undercut bank. Conductivity is much higher than stream at culvert located approximately 500 m upstream.          13:42:45 
65,198022_us_ef1,1,"Site 198022_us_ef1. Fished the outlet pool of PSCIS crossing 197949, which is at the top of this site. 15:35:21 "
65,198022_us_ef1,1,"Site 198022_us_ef1. Fished the outlet pool of PSCIS crossing 197949, which is at the top of this site. 15:35:21 "
65,198022_us_ef1,1,"Site 198022_us_ef1. Fished the outlet pool of PSCIS crossing 197949, which is at the top of this site. 15:35:21 "
66,123377_ds_ef4,1,"Site 123377_ds_ef4. ds_ef4 is the same site at ds_ef1. The site was enclosed, sampled, and the fish returned (ds_ef1). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef4). Glide habitat with abundant boulder cover and cobble stream substrate.13:38:14 "
66,123377_ds_ef4,1,"Site 123377_ds_ef4. ds_ef4 is the same site at ds_ef1. The site was enclosed, sampled, and the fish returned (ds_ef1). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef4). Glide habitat with abundant boulder cover and cobble stream substrate.13:38:14 "
67,123377_ds_ef5,1,"Site 123377_ds_ef5. ds_ef5 is the same site at ds_ef2. The site was enclosed, sampled, and the fish returned (ds_ef2). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef5).Small pool at top end of site.14:34:02 "
67,123377_ds_ef5,1,"Site 123377_ds_ef5. ds_ef5 is the same site at ds_ef2. The site was enclosed, sampled, and the fish returned (ds_ef2). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef5).Small pool at top end of site.14:34:02 "
68,123377_ds_ef6,1,"Site 123377_ds_ef6. ds_ef6 is the same site at ds_ef3. The site was enclosed, sampled, and the fish returned (ds_ef3). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef6).Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 "
68,123377_ds_ef6,1,"Site 123377_ds_ef6. ds_ef6 is the same site at ds_ef3. The site was enclosed, sampled, and the fish returned (ds_ef3). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef6).Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 "
68,123377_ds_ef6,1,"Site 123377_ds_ef6. ds_ef6 is the same site at ds_ef3. The site was enclosed, sampled, and the fish returned (ds_ef3). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef6).Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 "
68,123377_ds_ef6,1,"Site 123377_ds_ef6. ds_ef6 is the same site at ds_ef3. The site was enclosed, sampled, and the fish returned (ds_ef3). 24 hours later the site was resample and the fish were scanned for pit tags to determine surveyor efficiency (ds_ef6).Site starts immediately below outlet of pipes and ends at the top of first large boulder line. Pool present near outlet with steps up to 35 cm. Abundant small wood debris and boulder covered throughout the site.          14:56:55 "
65,198022_us_ef1,1,"Site 198022_us_ef1. Fished the outlet pool of PSCIS crossing 197949, which is at the top of this site. 15:35:21 "
65,198022_us_ef1,1,"Site 198022_us_ef1. Fished the outlet pool of PSCIS crossing 197949, which is at the top of this site. 15:35:21 "
