rowid,reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments,survey_date,time
12,,Tributary to Houston Tommy Creek,14001106_us,,,,2.7,1.9,1.4,1.8,1.9,1.7,,,metre tape,1.7,1.7,1.4,1.6,1.4,1.3,,,metre tape,0.4,0.5,,,,,,,metre stick,0.3,0.4,,,,metre stick,4,3.5,4,,,clinometer,moderate,,6.2,recording meter,147,recording meter,8.7,pH meter (general),clear,abundant,sub-dominant,dominant,none,sub-dominant,trace,sub-dominant,trace,21-40%,few,evenly distributed,algae,V-shaped,gravels,fines,mixed forest,young forest,V-shaped,gravels,fines,mixed forest,mature forest,gravels,fines,,,riffle-pool,irregular meanders,Decoupled,unconfined,bridge,0.2,8,,,,,,"Small channel, moderate flowing stream. Medium habitat value. Gravels are predominant substrate in stream, many suitable areas for spawning. Very few deep pools ideal for overwintering. Stream forks approx 200m upstream of culvert. Stream channel is the same size. Big cutblock 50m north of stream, small bridge from block spanning stream near end of survey. Undercut banks are present in most sections of stream.  10:44:37",2023-09-16,10:44:37
13,,Tributary to Houston Tommy Creek,14000571_ds,,,,2.4,2.9,3.7,3.6,3.4,3.4,,,metre tape,2.2,2.2,2.1,2,1.9,2.1,,,metre tape,0.5,0.4,,,,,,,metre stick,0.4,,,,,metre stick,4,2,2,,,clinometer,moderate,,6.2,recording meter,147,recording meter,8.7,pH meter (general),clear,moderate,sub-dominant,dominant,trace,sub-dominant,trace,sub-dominant,none,1-20%,abundant,clumped,none,sloping,cobbles,gravels,mixed forest,mature forest,V-shaped,cobbles,gravels,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,irregular meanders,Partially Coupled,unconfined,,,,,,,,,High habitat value. Wide channel with good flow and abundant cover. Trace areas with gravel patches suitable for spawning. A lot of woody debris protruding into the bankfull channel and adding complexity. Some areas with deep pools suitable for overwintering. Fish spotted in deep outlet pool of culvert.  12:48:01,2023-09-16,12:48:01
14,,Tributary to Coal Creek,8525_ds_ef1,,,,2.3,1.6,1.6,,,,,,metre tape,2.2,1.6,1.6,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1,,,,,clinometer,low,,6.7,recording meter,133,recording meter,7.7,pH meter (general),Moderately Turbid,trace,trace,dominant,trace,trace,none,trace,none,1-20%,few,evenly distributed,none,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,Shallow pool habitat. Some functional large woody debris at end of site. Stream is moderately turbid. Visibility is relatively low.  11:09:56,2023-09-18,11:09:56
15,,Tributary to Coal Creek,8525_ds_ef2,,,,,,,,,,,,metre tape,,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,,,,recording meter,,recording meter,,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fished one section at bottom of site and one pool under log at top end of site. Middle section was very small and not fishable. 12:15:17,2023-09-18,12:15:17
16,,Tributary to Coal Creek,8525_ds_ef3,,,,1.3,1.2,1.5,,,,,,metre tape,1.2,0.9,1.3,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,,clinometer,,,,recording meter,,recording meter,,pH meter (general),,moderate,trace,none,trace,none,none,dominant,sub-dominant,1-20%,none,not applicable,vascular plants,,,,,,,,,,,gravels,fines,,,riffle-pool,straight,,,,,,,,,,,"Fished from approx 15m downstream of outlet to the outlet pool. 2 fish caught in pool. Very small channel downstream. Moderate turbidity, hard to see fish. 12:51:52",2023-09-18,12:51:52
17,,Tributary to Coal Creek,8525_us_ef1,,,,1.6,1.8,1.7,,,,,,metre tape,1.6,1.5,1.4,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,sub-dominant,none,trace,trace,dominant,none,1-20%,few,evenly distributed,none,,,,,,,,,,,fines,gravels,,,riffle-pool,irregular meanders,,,,,,,,,,,"Fished 4m squared pool at bottom end of site. Stream is very narrow upstream of pool. Another shallow pool under large woody debris was fished upstream, approx 3m squared. A final small 3m squared section near woody debris was fished approx 20n upstream.  14:09:44",2023-09-18,14:09:44
18,,Tributary to Coal Creek,8525_us_ef2,,,,2.5,1.4,2.8,1.7,,,,,metre tape,1.5,1,2.7,0.9,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),Moderately Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA 15:52:11,2023-09-18,15:52:11
19,,Tributary to Coal Creek,8525_us_ef3,,,,,,,,,,,,metre tape,,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,trace,none,trace,trace,sub-dominant,none,1-20%,few,clumped,none,,,,,,,,,,,gravels,fines,,,riffle-pool,sinuous,,,,,,,,,,,Site length 25m long but only 3 small sub sections approximately 4m squared were fished.  The rest of the site length the channel was too small and too much woody debris blocking the stream. 16:39:59,2023-09-18,16:39:59
20,,Tributary to McDonell Lake,8478_ds_ef1,,,,,,,,,,,,metre tape,,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,high,,,recording meter,,recording meter,,pH meter (general),,moderate,trace,sub-dominant,trace,sub-dominant,trace,dominant,none,21-40%,few,evenly distributed,none,undercut,fines,,mixed forest,mature forest,sloping,gravels,,deciduous forest,young forest,cobbles,gravels,,,cascade-pool,irregular meanders,Decoupled,unconfined,,,,,,,,,2 fish caught at bottom end of site. 11:17:08,2023-09-19,11:17:08
21,,Tributary to McDonell Lake,8478_ds_ef2,,,,2.8,2.9,1.9,3,,,,,metre tape,2.2,1.8,1.6,1.5,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,8,7,,,,clinometer,,,,recording meter,,recording meter,,pH meter (general),,moderate,trace,sub-dominant,trace,sub-dominant,none,dominant,none,21-40%,few,clumped,none,undercut,cobbles,gravels,mixed forest,mature forest,undercut,gravels,cobbles,deciduous forest,young forest,cobbles,gravels,,,cascade-pool,irregular meanders,,,,,,,,,,,Steep high flowing stream. Some gravel present suitable for spawning.  13:09:28,2023-09-19,13:09:28
22,,Tributary to McDonell Lake,8478_ds_ef3,,,,2.3,2.1,2.4,,,,,,metre tape,1.9,1.7,1.9,,,,,,metre tape,0.4,,,,,,,,metre stick,,,,,,metre stick,9,8,,,,clinometer,high,,,recording meter,,recording meter,,pH meter (general),,moderate,trace,sub-dominant,trace,sub-dominant,trace,dominant,none,1-20%,few,clumped,,V-shaped,cobbles,,mixed forest,young forest,undercut,gravels,,deciduous forest,young forest,cobbles,gravels,,,cascade-pool,sinuous,,,,,,,,,,,"Steep stream with some smaller cascades with shallow outlet pools. High flow, some patches of gravel present. Abundant overhanging cover. 13:26:55",2023-09-19,13:26:55
23,,Tributary to McDonell Lake,8478_us,,,,2.3,2.3,2.7,3.2,2,2,3,,metre tape,2.2,1.2,2,1.7,1.4,1.7,2.6,,metre tape,0.4,0.4,0.6,,,,,,metre stick,0.35,0.3,0.5,,,metre stick,10,9,11,20,,clinometer,high,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,dominant,sub-dominant,trace,trace,trace,none,1-20%,abundant,clumped,none,sloping,gravels,cobbles,coniferous forest,mature forest,sloping,cobbles,gravels,coniferous forest,mature forest,cobbles,gravels,,,cascade-pool,irregular meanders,Partially Coupled,occasionally confined,cascade or Chute,0.7,2.2,,,,,,Steep system with high flow and periodic cascades. Most are less than 1m in height. Very few deep pools (only at cascade outlets) or areas with suitable spawning gravels. Abundant large woody debris over channel and making cascades.  14:25:27,2023-09-19,14:25:27
24,,Tributary to McDonell Lake,8547_us,,,,3.1,1.8,1.8,1.6,1.5,1.6,,,metre tape,0.6,1.2,1,1.8,1.6,0.9,,,metre tape,0.4,,,,,,,,metre stick,0.4,0.5,,,,metre stick,10,3.5,5,4,,clinometer,moderate,,4.9,recording meter,94,recording meter,8.1,pH meter (general),clear,moderate,dominant,sub-dominant,none,sub-dominant,none,sub-dominant,none,1-20%,few,clumped,none,sloping,cobbles,gravels,mixed forest,mature forest,undercut,cobbles,gravels,mixed forest,young forest,cobbles,gravels,,,riffle-pool,irregular meanders,Decoupled,unconfined,,,,,,,,,"Moderate flowing stream, small channel. Very few areas with good spawning gravels. Few deep pools. Abundant undercut banks providing cover for fish. Woody debris is frequent and often functional and adding complexity. Moderately steep stream but no barriers present. Small fry spotted approx 100m upstream of culvert.  10:41:30",2023-09-20,10:41:30
25,,Tributary to McDonell Lake,8547_ds_ef1,,,,1.8,3.3,2.1,,,,,,metre tape,2,1.2,1.5,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,1 pool at top end of site where most fish were caught. Steep valley habitat with small channel 14:15:52,2023-09-20,14:15:52
26,,Tributary to McDonell Lake,8547_ds_ef2,,,,2.1,1.8,,,,,,,metre tape,1.2,1.5,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good flow with periodic shallow pools. 14:26:23,2023-09-20,14:26:23
27,,Tributary to McDonell Lake,8547_ds_ef3,,,,2,,,,,,,,metre tape,1.9,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fished outlet pool. 15:12:35,2023-09-20,15:12:35
28,,Tributary to McDonell Lake ,8547_us_ef1,,,,1.9,1.7,1.8,,,,,,metre tape,0.9,1.1,1.2,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3.5,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,,,,,,,,,,,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,,,,,,,,,,,,"Small stream channel, approx 20m upstream of inlet. 15:42:11",2023-09-20,15:42:11
29,,Tributary to McDonell Lake,8547_us_ef2,,,,1.7,1.7,2,,,,,,metre tape,1.6,0.5,1.2,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,dominant,sub-dominant,trace,sub-dominant,trace,trace,none,1-20%,few,evenly distributed,,,,,,,,,,,,cobbles,fines,,,riffle-pool,sinuous,,,,,,,,,,,Small pool at bottom of site with larger fish caught. 15:51:17,2023-09-20,15:51:17
30,,Tributary to McDonell Lake,8547_us_ef3,,,,1.9,1.7,2.8,,,,,,metre tape,1.7,1.1,2,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,4.5,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,dominant,none,sub-dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,none,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,One pool at bottom of site with fish caught and one shallow pool at top end of site with fish. Wetted channel is narrower in the middle of site with no fish.  16:35:55,2023-09-20,16:35:55
31,,Dale Creek,198215_ds_ef1,,,,5.1,,,,,,,,metre tape,5.1,,,,,,,,metre tape,0.7,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,,,,recording meter,,recording meter,,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,cobbles,boulders,,,,,,,,,,,,,,,"Fished outlet pool, approx 5m squared site. 0.7m deep. 13:05:22",2023-09-21,13:05:22
32,,Dale Creek,198215_ds_ef2,,,,4.3,,,,,,,,metre tape,4.1,,,,,,,,metre tape,0.4,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,high,,,recording meter,,recording meter,,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fished pool below block step approx 0.7m high. 40m ds of pipe. 13:37:42,2023-09-21,13:37:42
33,,Dale Creek,198215_ds_ef3,,,,3.1,3.2,2.9,,,,,,metre tape,2.2,1.9,2,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,5,,,,,clinometer,high,,,recording meter,,recording meter,,pH meter (general),,moderate,trace,trace,sub-dominant,none,none,dominant,none,1-20%,none,not applicable,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,Shallow riffle pool stream habitat fished just upstream of confluence with Kispiox River.  13:54:30,2023-09-21,13:54:30
34,,Dale Creek,198215_us_ef1,,,,3.7,3.8,3.8,,,,,,metre tape,2.6,2.1,2.2,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,4,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,trace,sub-dominant,none,none,sub-dominant,none,1-20%,none,not applicable,none,,,,,,,,,,,cobbles,boulders,,,riffle-pool,straight,,,,,,,,,,,Shallow riffle pool habitat fished. Wide channel with moderate flow. Approx 10m upstream of inlet. 14:54:07,2023-09-21,14:54:07
35,,Dale Creek,198215_us_ef2,,,,3.2,3.5,3.4,,,,,,metre tape,1.5,1.2,1.9,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,trace,trace,sub-dominant,none,trace,sub-dominant,none,1-20%,none,not applicable,none,,,,,,,,,,,cobbles,gravels,,,riffle-pool,straight,,,,,,,,,,,"Wide channel, riffle pool habitat. 15:24:17",2023-09-21,15:24:17
36,,Dale Creek,198215_us_ef3,,,,3.7,3.5,3.6,,,,,,metre tape,2.1,2.1,1.8,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,trace,trace,sub-dominant,none,trace,sub-dominant,none,1-20%,none,not applicable,none,,,,,,,,,,,cobbles,boulders,,,riffle-pool,straight,,,,,,,,,,,"Shallow riffle pool, stream gets steeper at top end of site. 15:31:44",2023-09-21,15:31:44
37,,Tributary to Skeena River,198217_us_ef1,,,,3.8,4.1,3.6,,,,,,metre tape,2.9,3.5,3.1,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,high,,9.4,recording meter,172,recording meter,7.4,pH meter (general),clear,trace,trace,sub-dominant,sub-dominant,none,none,trace,none,1-20%,none,not applicable,none,,,,,,,,,,,cobbles,boulders,,,riffle-pool,,,,,,,,,,,,Wide channel with moderate flow. Approx 30m downstream of weir. 11:29:05,2023-09-22,11:29:05
38,,Tributary to Skeena River,198217_us_ef2,,,,3.5,4.6,4.2,,,,,,metre tape,3.2,4,3.7,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,trace,trace,trace,sub-dominant,trace,trace,trace,none,1-20%,few,evenly distributed,none,,,,,,,,,,,cobbles,boulders,,,riffle-pool,,,,,,,,,,,,Approx. 30m downstream of weir. Pool at top end of site. 11:35:16,2023-09-22,11:35:16
39,,Tributary to Skeena River,198217_us_ef3,,,,4.6,3.4,3.7,,,,,,metre tape,3.7,2.3,2.6,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,sub-dominant,sub-dominant,none,sub-dominant,trace,none,0,,,,,,,,,,,,,,cobbles,boulders,,,riffle-pool,,,,,,,,,,,,"Directly downstream of weir. Big, deep outlet pool at foot of weir. 11:46:12",2023-09-22,11:46:12
40,,Tributary to Skeena River,198217_ds_ef1,,,,4.9,4.5,4.3,,,,,,metre tape,4,4.2,3.9,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,,,,recording meter,,recording meter,,pH meter (general),,moderate,dominant,sub-dominant,none,sub-dominant,none,trace,none,0,none,not applicable,none,,,,,,,,,,,fines,gravels,,,riffle-pool,,,,,,,,,,,,"Muddy, fine substrate near outlet of pipe. 14:07:03",2023-09-22,14:07:03
41,,Tributary to Skeena River,198217_ds_ef2,,,,4.3,3.9,3.8,,,,,,metre tape,3.6,2.9,3.4,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,,,,recording meter,,recording meter,,pH meter (general),,moderate,dominant,trace,none,trace,none,sub-dominant,none,0,few,clumped,none,,,,,,,,,,,gravels,fines,,,riffle-pool,,,,,,,,,,,,Shallow riffle habitat near outlet pool. 14:23:29,2023-09-22,14:23:29
42,,Tributary to Skeena River,198217_ds_ef3,,,,5.6,,,,,,,,metre tape,5.3,,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,trace,trace,sub-dominant,trace,none,dominant,none,none,1-20%,few,evenly distributed,none,,,,,,,,,,,,,,,,,,,,,,,,,,,Fished culvert outlet pool. Approx 0.8m deep and 6m squared. 14:24:18,2023-09-22,14:24:18
43,,Tributary to Tagit Creek,197949_us,,,,2,2.1,2.5,2.6,2.3,2.2,,,metre tape,0.7,1.1,1.7,,0.9,0.8,,,metre tape,0.4,,,,,,,,metre stick,0.3,0.25,,,,metre stick,3,7,9,8,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,abundant,sub-dominant,sub-dominant,trace,trace,trace,dominant,none,1-20%,few,evenly distributed,none,sloping,gravels,cobbles,mixed forest,pole-sapling,undercut,gravels,cobbles,mixed forest,pole-sapling,cobbles,gravels,,,riffle-pool,irregular meanders,Decoupled,occasionally confined,,,,,,,,,"Riparian vegetation consists of mostly deciduos young saplings. Some older vegetation (alder) present as well creating abundant overhang. Small channel with low flow. Water present throughout 90% of survey, occasional dewatered patches. Fish spotted approx. 500m upstream of culvert (est. 8cm length). Some areas with gravels. Occasional undercut banks. Very few deep pools at time of survey. Gradual slope that stays around 8% throughput surveyed length. 11:21:38",2023-09-27,11:21:38
